<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20250114,1500,2665.01,2672.59,2664.95,2671.48,5058690
XAUUSD,20250114,1600,2671.50,2673.89,2669.59,2671.42,4143830
XAUUSD,20250114,1700,2671.38,2671.68,2667.82,2668.88,3887990
XAUUSD,20250114,1800,2668.89,2672.49,2666.49,2672.28,4338000
XAUUSD,20250114,1900,2672.24,2676.07,2671.67,2674.09,2644420
XAUUSD,20250114,2000,2674.01,2676.35,2671.68,2676.35,4078980
XAUUSD,20250114,2100,2676.30,2677.99,2675.65,2676.88,524930
XAUUSD,20250114,2300,2677.47,2679.20,2673.82,2675.41,511480
XAUUSD,20250115,0000,2675.45,2675.95,2672.53,2672.64,844530
XAUUSD,20250115,0100,2672.68,2674.24,2669.80,2669.91,3282120
XAUUSD,20250115,0200,2669.93,2674.88,2669.32,2673.22,2840130
XAUUSD,20250115,0300,2673.20,2676.07,2672.11,2675.93,1423710
XAUUSD,20250115,0400,2675.91,2676.57,2673.95,2675.38,754680
XAUUSD,20250115,0500,2675.41,2679.14,2674.39,2679.09,2166840
XAUUSD,20250115,0600,2679.09,2683.13,2678.97,2680.80,1805190
XAUUSD,20250115,0700,2680.76,2684.01,2679.86,2681.18,1833310
XAUUSD,20250115,0800,2681.18,2685.22,2681.05,2683.80,3429720
XAUUSD,20250115,0900,2683.80,2688.40,2682.74,2685.70,3102270
XAUUSD,20250115,1000,2685.74,2688.93,2684.64,2688.22,2779810
XAUUSD,20250115,1100,2688.36,2688.78,2685.11,2686.72,2649790
XAUUSD,20250115,1200,2686.70,2687.28,2683.91,2684.47,2870270
XAUUSD,20250115,1300,2684.45,2694.02,2682.03,2693.57,7232890
XAUUSD,20250115,1400,2693.57,2695.93,2678.01,2681.84,9015790
XAUUSD,20250115,1500,2681.82,2682.93,2676.44,2678.26,6279585
XAUUSD,20250115,1600,2678.26,2689.85,2676.76,2689.10,5120060
XAUUSD,20250115,1700,2689.24,2692.95,2688.25,2692.59,2719320
XAUUSD,20250115,1800,2692.59,2694.80,2690.84,2693.85,4211540
XAUUSD,20250115,1900,2693.85,2695.05,2692.32,2694.00,2203250
XAUUSD,20250115,2000,2693.90,2696.36,2693.13,2696.24,2053710
XAUUSD,20250115,2100,2696.26,2697.34,2693.77,2695.72,609950
XAUUSD,20250115,2300,2697.35,2697.45,2694.00,2694.63,373490
XAUUSD,20250116,0000,2694.63,2698.01,2692.65,2695.05,1702140
XAUUSD,20250116,0100,2695.13,2702.01,2694.24,2695.92,4167200
XAUUSD,20250116,0200,2695.92,2697.97,2695.01,2697.36,2449050
XAUUSD,20250116,0300,2697.36,2698.21,2695.55,2696.95,2706780
XAUUSD,20250116,0400,2696.93,2697.86,2696.53,2697.15,1028460
XAUUSD,20250116,0500,2697.15,2697.24,2693.66,2694.61,1784160
XAUUSD,20250116,0600,2694.64,2695.45,2689.72,2693.81,2204440
XAUUSD,20250116,0700,2693.81,2699.82,2693.46,2698.03,2518740
XAUUSD,20250116,0800,2698.18,2703.20,2696.89,2698.82,4666590
XAUUSD,20250116,0900,2698.82,2706.07,2697.32,2705.22,3128230
XAUUSD,20250116,1000,2705.26,2708.30,2704.55,2707.64,2401620
XAUUSD,20250116,1100,2707.66,2711.05,2705.85,2706.20,1861820
XAUUSD,20250116,1200,2706.13,2707.07,2699.97,2703.57,3777400
XAUUSD,20250116,1300,2703.57,2718.25,2701.10,2715.20,4844050
XAUUSD,20250116,1400,2715.20,2719.09,2712.70,2718.33,7667840
XAUUSD,20250116,1500,2718.33,2719.45,2712.35,2716.72,9387460
XAUUSD,20250116,1600,2716.74,2722.24,2716.43,2720.18,5322940
XAUUSD,20250116,1700,2720.16,2724.57,2719.19,2721.57,3926380
XAUUSD,20250116,1800,2721.65,2723.15,2714.61,2715.07,5038370
XAUUSD,20250116,1900,2715.07,2717.05,2714.50,2715.11,3872490
XAUUSD,20250116,2000,2715.11,2716.97,2714.30,2715.68,2792740
XAUUSD,20250116,2100,2715.64,2715.72,2712.20,2713.74,809090
XAUUSD,20250116,2300,2714.07,2714.84,2712.20,2714.45,549540
XAUUSD,20250117,0000,2714.36,2716.01,2713.70,2714.51,1025310
XAUUSD,20250117,0100,2714.55,2714.63,2709.72,2714.57,2428830
XAUUSD,20250117,0200,2714.57,2716.95,2713.68,2715.78,1886760
XAUUSD,20250117,0300,2715.70,2717.38,2714.39,2715.28,1980360
XAUUSD,20250117,0400,2715.28,2716.39,2714.13,2714.61,1153890
XAUUSD,20250117,0500,2714.61,2715.38,2710.99,2711.36,3308820
XAUUSD,20250117,0600,2711.38,2713.07,2710.35,2712.49,2268880
XAUUSD,20250117,0700,2712.51,2714.57,2708.53,2710.39,3460170
XAUUSD,20250117,0800,2710.47,2712.72,2709.24,2711.55,1869540
XAUUSD,20250117,0900,2711.55,2711.81,2703.76,2704.97,2405660
XAUUSD,20250117,1000,2704.95,2706.15,2702.67,2703.84,3384140
XAUUSD,20250117,1100,2703.82,2708.49,2703.55,2707.89,3430140
XAUUSD,20250117,1200,2707.89,2711.64,2706.75,2710.76,4294780
XAUUSD,20250117,1300,2710.78,2711.99,2704.27,2704.85,5885430
XAUUSD,20250117,1400,2704.85,2712.39,2702.55,2711.68,3766860
XAUUSD,20250117,1500,2711.61,2715.01,2709.97,2714.16,3159780
XAUUSD,20250117,1600,2714.28,2717.18,2713.45,2715.93,3934490
XAUUSD,20250117,1700,2715.93,2716.36,2710.43,2712.43,2189490
XAUUSD,20250117,1800,2712.47,2713.18,2705.26,2705.49,1925050
XAUUSD,20250117,1900,2705.45,2707.07,2702.68,2703.03,3013450
XAUUSD,20250117,2000,2703.01,2704.03,2699.78,2700.70,2191920
XAUUSD,20250117,2100,2700.70,2702.91,2698.45,2702.64,504370
XAUUSD,20250119,2300,2701.11,2702.76,2690.88,2696.24,1832850
XAUUSD,20250120,0000,2696.18,2696.26,2692.36,2694.34,1416900
XAUUSD,20250120,0100,2694.36,2695.70,2689.31,2693.61,3836170
XAUUSD,20250120,0200,2693.61,2697.82,2693.51,2697.32,1991310
XAUUSD,20250120,0300,2697.32,2703.84,2697.28,2703.34,1581820
XAUUSD,20250120,0400,2703.34,2706.30,2702.03,2705.78,1451550
XAUUSD,20250120,0500,2705.74,2707.43,2703.43,2707.07,2020460
XAUUSD,20250120,0600,2707.07,2713.66,2706.41,2711.41,2317470
XAUUSD,20250120,0700,2711.41,2711.76,2702.63,2703.43,2179970
XAUUSD,20250120,0800,2703.43,2707.86,2702.74,2706.84,1868520
XAUUSD,20250120,0900,2706.78,2708.76,2702.84,2705.99,1344330
XAUUSD,20250120,1000,2705.95,2709.66,2705.09,2708.09,1437870
XAUUSD,20250120,1100,2708.09,2712.45,2705.00,2708.16,2605760
XAUUSD,20250120,1200,2708.14,2709.89,2705.83,2707.99,1425650
XAUUSD,20250120,1300,2707.97,2710.33,2701.50,2705.05,3874960
XAUUSD,20250120,1400,2704.95,2711.84,2704.70,2710.26,3517380
XAUUSD,20250120,1500,2710.26,2710.51,2704.82,2706.80,3266780
XAUUSD,20250120,1600,2706.70,2708.84,2703.18,2707.20,1893990
XAUUSD,20250120,1700,2707.18,2710.85,2704.07,2706.99,1636330
XAUUSD,20250120,1800,2707.05,2710.76,2704.91,2710.55,1041890
XAUUSD,20250120,1900,2710.55,2710.95,2706.27,2707.25,491220
XAUUSD,20250120,2300,2706.05,2711.07,2705.86,2710.20,806010
XAUUSD,20250121,0000,2710.18,2711.26,2702.74,2705.28,2810130
XAUUSD,20250121,0100,2705.32,2719.18,2703.03,2717.91,3902460
XAUUSD,20250121,0200,2717.89,2725.55,2717.68,2724.64,3526660
