<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260113,1300,4592.99,4620.55,4590.40,4611.15,4857310
XAUUSD,20260113,1400,4611.16,4634.28,4608.69,4629.06,5537300
XAUUSD,20260113,1500,4629.07,4629.56,4600.41,4618.90,5166485
XAUUSD,20260113,1600,4618.89,4620.44,4592.77,4613.05,4655380
XAUUSD,20260113,1700,4612.98,4615.73,4586.35,4590.26,2596620
XAUUSD,20260113,1800,4590.26,4601.73,4580.84,4593.76,5500540
XAUUSD,20260113,1900,4593.76,4598.77,4583.98,4597.31,2323990
XAUUSD,20260113,2000,4597.32,4597.56,4569.19,4585.72,4416370
XAUUSD,20260113,2100,4585.99,4589.59,4582.51,4585.65,1010890
XAUUSD,20260113,2300,4586.16,4598.65,4586.16,4596.81,840370
XAUUSD,20260114,0000,4596.80,4610.45,4596.74,4608.90,1291470
XAUUSD,20260114,0100,4608.99,4619.77,4605.88,4619.02,2393790
XAUUSD,20260114,0200,4619.06,4623.53,4613.94,4620.32,1950910
XAUUSD,20260114,0300,4620.31,4629.86,4613.10,4627.95,1488640
XAUUSD,20260114,0400,4627.98,4630.22,4625.02,4629.02,1456730
XAUUSD,20260114,0500,4629.07,4639.53,4617.69,4619.56,2430670
XAUUSD,20260114,0600,4619.60,4637.06,4618.31,4637.05,2549220
XAUUSD,20260114,0700,4637.06,4639.49,4631.35,4632.15,1573480
XAUUSD,20260114,0800,4632.13,4637.69,4621.27,4634.77,1740370
XAUUSD,20260114,0900,4634.55,4639.43,4626.81,4630.35,1500460
XAUUSD,20260114,1000,4630.34,4638.02,4627.60,4632.89,1263060
XAUUSD,20260114,1100,4632.94,4637.31,4625.80,4630.15,1407510
XAUUSD,20260114,1200,4630.38,4641.60,4630.06,4638.45,1758580
XAUUSD,20260114,1300,4638.48,4641.40,4623.65,4635.49,2918180
XAUUSD,20260114,1400,4635.53,4638.77,4606.65,4617.03,4049100
XAUUSD,20260114,1500,4616.96,4626.41,4599.16,4617.72,4061630
XAUUSD,20260114,1600,4617.73,4624.61,4608.44,4616.85,2980270
XAUUSD,20260114,1700,4616.81,4618.90,4600.98,4614.13,3038800
XAUUSD,20260114,1800,4614.07,4637.11,4612.65,4635.01,3105620
XAUUSD,20260114,1900,4634.98,4642.69,4632.91,4638.99,3561410
XAUUSD,20260114,2000,4639.05,4641.34,4625.48,4632.44,2918950
XAUUSD,20260114,2100,4632.39,4632.88,4617.66,4626.06,1171810
XAUUSD,20260114,2300,4629.23,4631.65,4602.57,4615.02,2160480
XAUUSD,20260115,0000,4614.94,4617.91,4609.94,4614.90,1291090
XAUUSD,20260115,0100,4614.88,4617.40,4583.22,4599.66,3647670
XAUUSD,20260115,0200,4599.75,4614.41,4595.26,4602.73,2420910
XAUUSD,20260115,0300,4602.72,4604.10,4580.93,4592.02,3139150
XAUUSD,20260115,0400,4592.02,4597.18,4586.69,4591.97,1544730
XAUUSD,20260115,0500,4591.94,4598.69,4580.81,4594.94,2019670
XAUUSD,20260115,0600,4594.98,4611.78,4593.26,4609.85,3064950
XAUUSD,20260115,0700,4609.82,4613.36,4599.02,4601.56,1470060
XAUUSD,20260115,0800,4601.59,4606.91,4597.69,4604.11,1569850
XAUUSD,20260115,0900,4604.13,4612.94,4600.44,4612.44,1551400
XAUUSD,20260115,1000,4612.41,4620.56,4609.15,4619.61,1332780
XAUUSD,20260115,1100,4619.66,4622.76,4615.31,4619.01,1131330
XAUUSD,20260115,1200,4619.10,4620.56,4611.47,4613.76,1313110
XAUUSD,20260115,1300,4613.78,4615.90,4582.14,4588.02,4088130
XAUUSD,20260115,1400,4588.19,4614.80,4583.10,4610.80,4985700
XAUUSD,20260115,1500,4610.51,4617.71,4603.47,4615.15,5108260
XAUUSD,20260115,1600,4615.16,4624.32,4600.98,4605.30,3617000
XAUUSD,20260115,1700,4605.31,4616.63,4605.31,4616.20,2571240
XAUUSD,20260115,1800,4616.06,4620.85,4613.17,4617.31,3525390
XAUUSD,20260115,1900,4617.31,4621.30,4612.48,4615.64,2495010
XAUUSD,20260115,2000,4615.64,4616.11,4600.40,4605.56,4574350
XAUUSD,20260115,2100,4605.55,4616.09,4604.18,4614.82,1452350
XAUUSD,20260115,2300,4613.50,4620.45,4606.06,4609.85,1134380
XAUUSD,20260116,0000,4609.84,4610.85,4598.10,4599.65,1846150
XAUUSD,20260116,0100,4599.49,4608.32,4593.56,4600.34,2337290
XAUUSD,20260116,0200,4600.31,4604.01,4590.98,4594.45,2359600
XAUUSD,20260116,0300,4594.82,4599.61,4592.60,4596.11,1430420
XAUUSD,20260116,0400,4596.06,4601.91,4595.84,4600.87,1280990
XAUUSD,20260116,0500,4600.89,4615.73,4595.10,4611.27,2051420
XAUUSD,20260116,0600,4611.23,4612.10,4593.86,4597.85,2455000
XAUUSD,20260116,0700,4597.91,4611.82,4596.52,4607.28,1438560
XAUUSD,20260116,0800,4607.24,4610.35,4600.94,4602.98,1197780
XAUUSD,20260116,0900,4603.05,4608.34,4598.61,4600.40,987600
XAUUSD,20260116,1000,4600.32,4610.94,4599.47,4599.89,958050
XAUUSD,20260116,1100,4599.91,4615.97,4598.28,4612.34,1218080
XAUUSD,20260116,1200,4612.36,4612.68,4596.91,4601.60,1775720
XAUUSD,20260116,1300,4601.63,4605.31,4582.10,4601.63,3362730
XAUUSD,20260116,1400,4601.60,4614.51,4595.75,4607.44,4396520
XAUUSD,20260116,1500,4607.48,4620.03,4536.52,4570.85,5476150
XAUUSD,20260116,1600,4570.84,4598.84,4567.14,4591.02,3277870
XAUUSD,20260116,1700,4590.97,4592.98,4576.40,4581.19,2406390
XAUUSD,20260116,1800,4581.15,4595.86,4579.65,4582.41,2159820
XAUUSD,20260116,1900,4582.40,4592.15,4580.65,4590.24,2365370
