time,open,high,low,close,volume
12.09.2024 11:00:00.000 UTC,142.62,142.641,142.369,142.567,28407.6
12.09.2024 12:00:00.000 UTC,142.564,142.619,141.962,142.098,50776.59
12.09.2024 13:00:00.000 UTC,142.097,142.432,141.909,142.007,46857.85
12.09.2024 14:00:00.000 UTC,142.011,142.661,142.004,142.484,44720.66
12.09.2024 15:00:00.000 UTC,142.483,142.557,142.192,142.24,35483.67
12.09.2024 16:00:00.000 UTC,142.24,142.655,142.211,142.516,34433.92
12.09.2024 17:00:00.000 UTC,142.514,142.568,142.239,142.271,28487.86
12.09.2024 18:00:00.000 UTC,142.269,142.366,141.911,142.023,28306.67
12.09.2024 19:00:00.000 UTC,142.026,142.089,141.749,141.88,22086.77
12.09.2024 20:00:00.000 UTC,141.878,141.924,141.722,141.791,20648.3
12.09.2024 21:00:00.000 UTC,141.791,141.837,141.72,141.833,395.73
12.09.2024 22:00:00.000 UTC,141.83,141.874,141.695,141.841,3506.25
12.09.2024 23:00:00.000 UTC,141.841,141.841,141.426,141.509,12433.19
13.09.2024 00:00:00.000 UTC,141.509,141.557,141.164,141.194,29825.75
13.09.2024 01:00:00.000 UTC,141.192,141.294,140.999,141.226,27031.83
13.09.2024 02:00:00.000 UTC,141.229,141.289,140.774,141.035,21848.29
13.09.2024 03:00:00.000 UTC,141.038,141.132,140.813,140.976,16989.29
13.09.2024 04:00:00.000 UTC,140.976,141.02,140.644,140.955,15837.41
13.09.2024 05:00:00.000 UTC,140.954,141.174,140.742,140.858,18421.3
13.09.2024 06:00:00.000 UTC,140.86,141.173,140.829,141.088,39347.84
13.09.2024 07:00:00.000 UTC,141.089,141.412,140.821,140.912,39881.79
13.09.2024 08:00:00.000 UTC,140.914,140.968,140.407,140.7,46800.16
13.09.2024 09:00:00.000 UTC,140.699,140.733,140.361,140.572,29147.7
13.09.2024 10:00:00.000 UTC,140.571,140.717,140.364,140.697,30496.29
13.09.2024 11:00:00.000 UTC,140.697,140.979,140.598,140.831,26970.84
13.09.2024 12:00:00.000 UTC,140.832,141.019,140.7,140.726,29515.26
13.09.2024 13:00:00.000 UTC,140.725,140.727,140.281,140.352,40634.14
13.09.2024 14:00:00.000 UTC,140.342,140.77,140.281,140.639,37633.39
13.09.2024 15:00:00.000 UTC,140.639,140.675,140.338,140.662,24361.46
13.09.2024 16:00:00.000 UTC,140.668,140.941,140.589,140.811,31255.41
13.09.2024 17:00:00.000 UTC,140.811,140.964,140.769,140.908,24273.47
13.09.2024 18:00:00.000 UTC,140.907,141.007,140.836,140.931,20205.62
13.09.2024 19:00:00.000 UTC,140.932,140.966,140.884,140.929,8979.46
13.09.2024 20:00:00.000 UTC,140.928,140.937,140.768,140.78,11842.15
15.09.2024 21:00:00.000 UTC,140.704,140.898,140.556,140.7,642.3
15.09.2024 22:00:00.000 UTC,140.696,140.78,140.451,140.689,7237.86
15.09.2024 23:00:00.000 UTC,140.686,140.896,140.684,140.844,11005.49
16.09.2024 00:00:00.000 UTC,140.845,140.849,140.422,140.525,19512.85
16.09.2024 01:00:00.000 UTC,140.522,140.586,140.445,140.54,15860.45
16.09.2024 02:00:00.000 UTC,140.541,140.563,140.475,140.534,14531.79
16.09.2024 03:00:00.000 UTC,140.533,140.543,140.047,140.12,16926.09
16.09.2024 04:00:00.000 UTC,140.12,140.3,139.948,140.214,25594.48
16.09.2024 05:00:00.000 UTC,140.213,140.287,140.064,140.192,14289.03
16.09.2024 06:00:00.000 UTC,140.19,140.231,139.724,139.852,31321.32
16.09.2024 07:00:00.000 UTC,139.854,139.933,139.576,139.875,35908.14
16.09.2024 08:00:00.000 UTC,139.876,139.943,139.732,139.851,35697.83
16.09.2024 09:00:00.000 UTC,139.85,140.275,139.829,140.204,29054.2
16.09.2024 10:00:00.000 UTC,140.204,140.23,140.022,140.124,33274.06
16.09.2024 11:00:00.000 UTC,140.124,140.165,139.876,139.886,28185.33
16.09.2024 12:00:00.000 UTC,139.884,140.443,139.752,140.238,43034.12
16.09.2024 13:00:00.000 UTC,140.236,140.481,140.208,140.455,46956.83
16.09.2024 14:00:00.000 UTC,140.455,140.707,140.321,140.448,38739.2
16.09.2024 15:00:00.000 UTC,140.448,140.912,140.426,140.8,32818.56
16.09.2024 16:00:00.000 UTC,140.797,140.856,140.602,140.64,25635.72
16.09.2024 17:00:00.000 UTC,140.642,140.766,140.6,140.677,17819.28
16.09.2024 18:00:00.000 UTC,140.677,140.739,140.615,140.712,20718.85
16.09.2024 19:00:00.000 UTC,140.712,140.881,140.695,140.7,14559.18
16.09.2024 20:00:00.000 UTC,140.7,140.72,140.573,140.599,7780.65
16.09.2024 21:00:00.000 UTC,140.593,140.61,140.549,140.601,268.29
16.09.2024 22:00:00.000 UTC,140.606,140.866,140.602,140.859,4555.35
16.09.2024 23:00:00.000 UTC,140.858,141.24,140.754,140.796,15972.38
17.09.2024 00:00:00.000 UTC,140.795,140.843,140.474,140.663,21713.05
17.09.2024 01:00:00.000 UTC,140.663,140.668,140.338,140.442,24533.61
17.09.2024 02:00:00.000 UTC,140.445,140.586,140.32,140.57,18107.89
17.09.2024 03:00:00.000 UTC,140.572,140.667,140.459,140.597,20807.21
17.09.2024 04:00:00.000 UTC,140.594,140.753,140.573,140.678,16718.47
17.09.2024 05:00:00.000 UTC,140.68,140.803,140.504,140.7,20732.87
